JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
AC	Achats	AC0021	20250129	401000	Fournisseurs	F010	NOUVELLE PAPETERIE SARL	FA5007	20250129	Facture NOUVELLE PAPETERIE SARL	0.00	2028.69					
AC	Achats	AC0022	20250202	606100	Fournitures non stockables			FA5008	20250202	Facture GARAGE MODERNE	435.60	0.00					
AC	Achats	AC0023	20250202	445660	TVA deductible			FA5008	20250202	TVA sur FA5008	78.41	0.00					
AC	Achats	AC0024	20250202	401000	Fournisseurs	F011	GARAGE MODERNE	FA5008	20250202	Facture GARAGE MODERNE	0.00	514.01					
AC	Achats	AC0025	20250206	606100	Fournitures non stockables			FA5009	20250206	Facture NOUVELLE PAPETERIE SARL	311.71	0.00					
AC	Achats	AC0026	20250206	445660	TVA deductible			FA5009	20250206	TVA sur FA5009	56.11	0.00					
AC	Achats	AC0027	20250206	401000	Fournisseurs	F010	NOUVELLE PAPETERIE SARL	FA5009	20250206	Facture NOUVELLE PAPETERIE SARL	0.00	367.82					
AC	Achats	AC0028	20250210	606100	Fournitures non stockables			FA5010	20250210	Facture NOUVELLE PAPETERIE SARL	3794.00	0.00					
AC	Achats	AC0029	20250210	445660	TVA deductible			FA5010	20250210	TVA sur FA5010	682.92	0.00					
AC	Achats	AC0030	20250210	401000	Fournisseurs	F010	NOUVELLE PAPETERIE SARL	FA5010	20250210	Facture NOUVELLE PAPETERIE SARL	0.00	4476.92					
AC	Achats	AC0031	20250214	606100	Fournitures non stockables			FA5011	20250214	Facture GARAGE MODERNE	2342.24	0.00					
AC	Achats	AC0032	20250214	445660	TVA deductible			FA5011	20250214	TVA sur FA5011	421.60	0.00					
AC	Achats	AC0033	20250214	401000	Fournisseurs	F011	GARAGE MODERNE	FA5011	20250214	Facture GARAGE MODERNE	0.00	2763.84					
AC	Achats	AC0034	20250218	606100	Fournitures non stockables			FA5012	20250218	Facture NOUVELLE PAPETERIE SARL	274.39	0.00					
AC	Achats	AC0035	20250218	445660	TVA deductible			FA5012	20250218	TVA sur FA5012	49.39	0.00					
AC	Achats	AC0036	20250218	401000	Fournisseurs	F010	NOUVELLE PAPETERIE SARL	FA5012	20250218	Facture NOUVELLE PAPETERIE SARL	0.00	323.78					
AC	Achats	AC0037	20250222	606100	Fournitures non stockables			FA5013	20250222	Facture NOUVELLE PAPETERIE SARL	262.60	0.00					
AC	Achats	AC0038	20250222	445660	TVA deductible			FA5013	20250222	TVA sur FA5013	47.27	0.00					
AC	Achats	AC0039	20250222	401000	Fournisseurs	F010	NOUVELLE PAPETERIE SARL	FA5013	20250222	Facture NOUVELLE PAPETERIE SARL	0.00	309.87					
AC	Achats	AC0040	20250226	606100	Fournitures non stockables			FA5014	20250226	Facture NOUVELLE PAPETERIE SARL	1215.27	0.00					
AC	Achats	AC0041	20250226	445660	TVA deductible			FA5014	20250226	TVA sur FA5014	218.75	0.00					
AC	Achats	AC0042	20250226	401000	Fournisseurs	F010	NOUVELLE PAPETERIE SARL	FA5014	20250226	Facture NOUVELLE PAPETERIE SARL	0.00	1434.02					
AC	Achats	AC0043	20250302	606100	Fournitures non stockables			FA5015	20250302	Facture GARAGE MODERNE	2199.49	0.00					
AC	Achats	AC0044	20250302	445660	TVA deductible			FA5015	20250302	TVA sur FA5015	395.91	0.00					
AC	Achats	AC0045	20250302	401000	Fournisseurs	F011	GARAGE MODERNE	FA5015	20250302	Facture GARAGE MODERNE	0.00	2595.40					
AC	Achats	AC0046	20250306	606100	Fournitures non stockables			FA5016	20250306	Facture NOUVELLE PAPETERIE SARL	2276.21	0.00					
AC	Achats	AC0047	20250306	445660	TVA deductible			FA5016	20250306	TVA sur FA5016	409.72	0.00					
AC	Achats	AC0048	20250306	401000	Fournisseurs	F010	NOUVELLE PAPETERIE SARL	FA5016	20250306	Facture NOUVELLE PAPETERIE SARL	0.00	2685.93					
AC	Achats	AC0049	20250310	606100	Fournitures non stockables			FA5017	20250310	Facture NOUVELLE PAPETERIE SARL	483.98	0.00					
AC	Achats	AC0050	20250310	445660	TVA deductible			FA5017	20250310	TVA sur FA5017	87.12	0.00					
AC	Achats	AC0051	20250310	401000	Fournisseurs	F010	NOUVELLE PAPETERIE SARL	FA5017	20250310	Facture NOUVELLE PAPETERIE SARL	0.00	571.10					
AC	Achats	AC0052	20250314	606100	Fournitures non stockables			FA5018	20250314	Facture NOUVELLE PAPETERIE SARL	1539.80	0.00					
AC	Achats	AC0053	20250314	445660	TVA deductible			FA5018	20250314	TVA sur FA5018	277.16	0.00					
AC	Achats	AC0054	20250314	401000	Fournisseurs	F010	NOUVELLE PAPETERIE SARL	FA5018	20250314	Facture NOUVELLE PAPETERIE SARL	0.00	1816.96					
OD	Operations diverses	OD0055	20250326	622600	Honoraires			OD9001	20250326	Ecriture test desequilibree	500.00	0.00					
OD	Operations diverses	OD0056	20250326	512000	Banque BICIS			OD9001	20250326	Ecriture test desequilibree	0.00	480.00					
